host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost2,host_identity_verified2,has_availability2,instant_bookable2,dmy_Hotel room,dmy_Private room,dmy_Shared room,Borough
35%,18%,8.0,8.0,t,Midtown,40.75356,-73.98559,1,,1.0,$150.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,17,47,322,48,0,0,4.7,4.72,4.62,4.76,4.79,4.86,4.41,3,3,0,0,0.33,0,1,1,0,0,0,0,Manhattan
21%,76%,1.0,1.0,t,Bedford-Stuyvesant,40.68494,-73.95765,3,1.0,3.0,$73.00 ,1,730,1.0,1.0,730.0,730.0,1.0,730.0,4,10,33,220,408,38,0,4.46,4.59,4.5,4.79,4.81,4.72,4.65,1,1,0,0,4.91,0,1,1,0,0,0,0,Brooklyn
100%,100%,1.0,1.0,t,Bedford-Stuyvesant,40.68535,-73.95512,2,1.0,1.0,$60.00 ,30,730,30.0,30.0,730.0,730.0,30.0,730.0,30,60,90,365,50,0,0,4.52,4.22,4.09,4.91,4.91,4.47,4.52,2,0,2,0,0.53,0,1,1,0,0,1,0,Brooklyn
100%,25%,1.0,1.0,t,Sunset Park,40.66265,-73.99454,4,2.0,2.0,$275.00 ,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,0,2,3,91,2,1,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,1,1,0,0,0.02,0,1,1,0,0,0,0,Brooklyn
100%,100%,1.0,1.0,t,Midtown,40.76457,-73.98317,2,1.0,1.0,$68.00 ,2,14,2.0,2.0,14.0,14.0,2.0,14.0,4,4,26,218,505,31,4,4.21,4.2,3.73,4.66,4.41,4.87,4.35,1,0,1,0,3.7,0,0,1,0,0,1,0,Manhattan
94%,100%,3.0,3.0,t,South Slope,40.66801,-73.98784,2,1.0,,$98.00 ,4,21,4.0,4.0,21.0,21.0,4.0,21.0,2,4,32,307,200,19,1,4.71,4.7,4.61,4.8,4.82,4.87,4.75,3,1,2,0,1.46,1,1,1,0,0,1,0,Brooklyn
100%,100%,1.0,1.0,t,Williamsburg,40.70935,-73.95342,3,,1.0,$89.00 ,30,730,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,28,197,181,1,0,4.56,4.59,4.86,4.84,4.8,4.67,4.57,1,1,0,0,1.25,0,1,1,1,0,0,0,Brooklyn
100%,100%,3.0,3.0,t,East Harlem,40.78778,-73.94759,1,1.0,1.0,$62.00 ,30,700,30.0,30.0,1125.0,1125.0,30.0,1125.0,7,9,39,314,234,1,0,4.88,4.81,4.96,4.96,4.95,4.84,4.84,1,0,1,0,1.83,0,1,1,1,0,1,0,Manhattan
100%,99%,1.0,1.0,t,Fort Greene,40.69121,-73.97277,4,1.0,2.0,$199.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,10,22,49,324,276,42,5,4.88,4.89,4.9,4.96,4.91,4.93,4.79,2,1,1,0,3.04,1,1,1,1,0,0,0,Brooklyn
100%,67%,4.0,4.0,t,Williamsburg,40.71778,-73.9568,4,,2.0,$299.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,0,29,59,334,9,0,0,4.86,4.6,4.4,4.8,4.6,5.0,4.8,1,1,0,0,0.06,1,0,1,0,0,0,0,Brooklyn
